K,link_latency,bandwidth,chunk_size,chunks_per_collective,max_runtime,mean_runtime,median_runtime,std_dev_runtime,variance_runtime
2,500,1,1,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,1,2,3421467,3177076.5,3177076.5,244390.5,59726716490.25
2,500,1,1,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,1,4,11724744,11724744.0,11724744.0,0.0,0.0
2,500,1,500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,500,2,3421467,3177076.5,3177076.5,244390.5,59726716490.25
2,500,1,500,3,8062131,7512440.25,7695670.5,607705.9894930176,369306569665.6875
2,500,1,500,4,14655930,13434602.5,13678868.0,1269240.7696086469,1610972131236.75
2,500,1,1000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,1000,2,3421467,3421467.0,3421467.0,0.0,0.0
2,500,1,1000,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,1000,4,12701806,12701806.0,12701806.0,0.0,0.0
2,500,1,1500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,1500,2,2932686,2932686.0,2932686.0,0.0,0.0
2,500,1,1500,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,1500,4,12701806,12457540.5,12701806.0,423080.2565362156,178996903470.75
2,500,1,2000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,2000,2,2932686,2932686.0,2932686.0,0.0,0.0
2,500,1,2000,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,2000,4,12701806,12213275.0,12213275.0,488531.0,238662537961.0
2,500,1,2500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,2500,2,3421467,3177076.5,3177076.5,244390.5,59726716490.25
2,500,1,2500,3,8062131,7512440.25,7695670.5,607705.9894930176,369306569665.6875
2,500,1,2500,4,13678868,13190337.0,13190337.0,488531.0,238662537961.0
2,500,1,3000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,3000,2,3421467,3177076.5,3177076.5,244390.5,59726716490.25
2,500,1,3000,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,3000,4,14655930,14167399.0,14655930.0,846160.5130724312,715987613883.0
2,500,1,3500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,3500,2,2932686,2932686.0,2932686.0,0.0,0.0
2,500,1,3500,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,3500,4,12701806,12213275.0,12213275.0,488531.0,238662537961.0
2,500,1,4000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,4000,2,3910248,3421467.0,3421467.0,488781.0,238906865961.0
2,500,1,4000,3,8062131,8062131.0,8062131.0,0.0,0.0
2,500,1,4000,4,12701806,12213275.0,12213275.0,488531.0,238662537961.0
2,500,1,4500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,4500,2,3910248,3543662.25,3665857.5,405275.79541367566,164248470348.1875
2,500,1,4500,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,4500,4,13678868,13190337.0,13678868.0,846160.5130724312,715987613883.0
2,500,1,5000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,5000,2,3421467,3421467.0,3421467.0,0.0,0.0
2,500,1,5000,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,5000,4,14655930,13434602.5,13678868.0,1269240.7696086469,1610972131236.75
2,500,1,5500,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,5500,2,3421467,3177076.5,3177076.5,244390.5,59726716490.25
2,500,1,5500,3,7329210,7329210.0,7329210.0,0.0,0.0
2,500,1,5500,4,12701806,12213275.0,12213275.0,488531.0,238662537961.0
2,500,1,6000,1,978560,978560.0,978560.0,0.0,0.0
2,500,1,6000,2,3421467,3177076.5,3177076.5,244390.5,59726716490.25
